"year","flujo","macro_sector","lv1","lit_lv1","lv2","lit_lv2","lv3","lit_lv3","total_millones","top_paises_lv1","tva_lv1","top_paises_lv2","tva_lv2","top_paises_lv3","tva_lv3"
2021,"E","Agroalimentario","19","Conservas vegetales","1911","Conservas vegetales","191117","Las demás frutas",468.19,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Estados Unidos, Reino Unido",NA,"Francia, Alemania, Países Bajos",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201111","Agua",62.81,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Francia, Portugal, Marruecos",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201112","Bebidas refrescantes",420.81,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Portugal, Reino Unido, Francia",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201113","Cerveza",272.96,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Reino Unido, China, Portugal",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201114","Mosto",293.23,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Italia, Francia, China",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201115","Vino",2890.54,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Alemania, Estados Unidos",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201116","Vermut y vino aromátizado",77.14,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Estados Unidos, Francia, Japón",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201117","Otras bebidas fermentadas",32.86,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Estados Unidos, Chile, China",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201118","Bebidas espirituosas",863.11,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Filipinas, Alemania, Reino Unido",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201119","Alcohol",257.59,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Francia, Grecia, Portugal",NA
2021,"E","Agroalimentario","20","Vinos y bebidas","2011","Vinos y bebidas","201120","Vinagre y sucedáneos",46.47,"Reino Unido, Francia, Alemania",NA,"Reino Unido, Francia, Alemania",NA,"Estados Unidos, Reino Unido, Francia",NA
