macro_sector,lv1,lit_lv1,lv2,lit_lv2,lv3,lit_lv3,codigo_nc8
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074300
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074410
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074421
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074431
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074451
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074461
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074471
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074481
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074491
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074499
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074510
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074521
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074531
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074551
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074561
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074571
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074581
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074593
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074595
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02074599
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075210
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075290
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075531
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075541
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075581
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02075599
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076005
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076021
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076041
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076051
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076081
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02076099
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111412,Carne de aves,02099000
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04071100
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04071911
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04071919
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04071990
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04072100
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04072910
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04072990
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04079010
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04079090
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04081120
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04081180
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04081920
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04081981
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04081989
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04089120
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04089180
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04089920
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111413,Huevos y Ovoproductos,04089980
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,02109939
Agroalimentario,11,Sectores Cárnicos,1114,Aves y huevos,111414,Preparados  de aves,02109971
